seed,goal_reached,path_length,nodes,loops,time
1,1,29,180,180,0.00019598007202148438
2,1,29,179,179,0.0001857280731201172
3,1,29,179,179,0.0001876354217529297
5,1,29,180,180,0.00018668174743652344
6,1,29,179,179,0.00018668174743652344
7,1,29,179,179,0.0001952648162841797
8,1,29,179,179,0.00018453598022460938
9,1,29,180,180,0.0001850128173828125
10,1,29,169,166,0.0001728534698486328
11,1,29,179,179,0.0001957416534423828
12,1,29,180,180,0.00018525123596191406
13,1,29,180,180,0.00018405914306640625
14,1,29,179,179,0.00019478797912597656
15,1,29,179,179,0.00018262863159179688
16,1,29,180,180,0.00018334388732910156
17,1,31,180,180,0.00018453598022460938
18,1,29,180,180,0.00019288063049316406
19,1,29,179,179,0.0001838207244873047
20,1,29,175,175,0.0001811981201171875
21,1,29,180,180,0.00018477439880371094
22,1,29,180,180,0.0001876354217529297
23,1,29,177,173,0.0001773834228515625
24,1,29,172,172,0.0001773834228515625
25,1,29,176,176,0.0001926422119140625
27,1,29,178,178,0.00018334388732910156
28,1,29,180,180,0.0001857280731201172
29,1,29,180,180,0.00018453598022460938
31,1,29,179,178,0.00018358230590820312
32,1,29,180,180,0.00018548965454101562
33,1,29,180,180,0.00018596649169921875
34,1,29,180,180,0.0001900196075439453
36,1,29,180,180,0.00018262863159179688
37,1,29,175,175,0.00018167495727539062
38,1,29,180,180,0.0001990795135498047
39,1,29,178,177,0.00018310546875
40,1,29,179,179,0.0001823902130126953
41,1,29,179,179,0.0001857280731201172
42,1,29,179,179,0.00018596649169921875
43,1,29,180,180,0.00018668174743652344
44,1,29,180,180,0.0001876354217529297
46,1,29,178,178,0.0001800060272216797
47,1,29,180,180,0.0001857280731201172
48,1,29,180,180,0.00018548965454101562
50,1,29,173,173,0.00017762184143066406
51,1,29,177,176,0.00017976760864257812
52,1,29,180,180,0.0001850128173828125
53,1,29,176,176,0.0001804828643798828
54,1,29,180,180,0.00018525123596191406
56,1,29,179,179,0.00019693374633789062
57,1,29,179,178,0.0001842975616455078
58,1,29,180,180,0.00018310546875
59,1,29,178,178,0.00018334388732910156
60,1,29,180,180,0.0001900196075439453
61,1,29,174,171,0.0001766681671142578
62,1,29,178,178,0.0001838207244873047
63,1,29,179,179,0.00018334388732910156
65,1,29,179,179,0.00018477439880371094
66,1,29,179,179,0.0001842975616455078
67,1,29,178,174,0.00018072128295898438
69,1,29,179,179,0.00018405914306640625
70,1,29,178,178,0.00018286705017089844
71,1,31,180,180,0.0001850128173828125
73,1,29,179,178,0.00018453598022460938
74,1,29,175,175,0.00018072128295898438
75,1,29,175,175,0.00018143653869628906
76,1,29,180,180,0.00019049644470214844
77,1,29,179,179,0.00018215179443359375
78,1,29,180,179,0.00018334388732910156
79,1,29,178,177,0.0001850128173828125
80,1,29,179,179,0.00018930435180664062
81,1,29,180,180,0.00018525123596191406
82,1,29,179,179,0.0001823902130126953
83,1,29,173,173,0.00017833709716796875
84,1,29,180,180,0.0001850128173828125
85,1,29,178,178,0.00018334388732910156
86,1,29,179,179,0.00018286705017089844
87,1,29,179,179,0.00018978118896484375
88,1,29,180,180,0.00018358230590820312
89,1,29,180,180,0.00018453598022460938
90,1,29,180,180,0.00018668174743652344
91,1,29,180,180,0.0001900196075439453
92,1,29,177,177,0.0001857280731201172
94,1,29,180,180,0.0001838207244873047
95,1,29,174,170,0.00017571449279785156
96,1,29,179,179,0.0001862049102783203
97,1,29,180,180,0.0001857280731201172
98,1,29,179,179,0.00018906593322753906
99,1,29,180,180,0.00018596649169921875
100,1,29,180,180,0.0001862049102783203
101,1,29,179,178,0.0001850128173828125
102,1,29,178,178,0.00018835067749023438
104,1,29,172,172,0.00017905235290527344
106,1,31,180,180,0.00019049644470214844
107,1,29,180,180,0.0001850128173828125
108,1,31,171,162,0.0001678466796875
109,1,29,180,180,0.00018644332885742188
110,1,29,178,177,0.0001838207244873047
111,1,29,175,173,0.00017905235290527344
112,1,29,180,180,0.00018477439880371094
113,1,29,180,180,0.0001919269561767578
114,1,29,180,180,0.00018548965454101562
116,1,29,180,180,0.00018405914306640625
117,1,29,180,180,0.0001919269561767578
120,1,29,178,178,0.0001857280731201172
122,1,29,180,180,0.000186920166015625
123,1,29,180,180,0.0001881122589111328
124,1,29,178,178,0.0001838207244873047
125,1,31,174,171,0.00018095970153808594
126,1,29,179,178,0.00018453598022460938
127,1,29,177,177,0.00018310546875
128,1,29,180,180,0.0001888275146484375
130,1,29,179,179,0.00018310546875
131,1,29,180,180,0.00018548965454101562
133,1,29,179,179,0.00019693374633789062
135,1,29,175,175,0.000179290771484375
136,1,29,177,176,0.0001819133758544922
137,1,29,180,180,0.0001995563507080078
138,1,29,180,180,0.000186920166015625
140,1,29,178,178,0.00018930435180664062
141,1,29,180,180,0.00020933151245117188
142,1,29,180,180,0.00018787384033203125
143,1,29,180,180,0.00018739700317382812
144,1,29,144,144,0.00015616416931152344
145,1,29,180,180,0.00018715858459472656
147,1,29,180,179,0.00018644332885742188
148,1,29,180,180,0.00018596649169921875
149,1,29,180,180,0.00018548965454101562
150,1,29,179,179,0.0001862049102783203
151,1,29,180,180,0.0001857280731201172
152,1,29,178,178,0.0001900196075439453
155,1,29,178,177,0.00018167495727539062
156,1,29,180,180,0.00019121170043945312
159,1,29,177,177,0.0001823902130126953
160,1,29,180,180,0.00018477439880371094
161,1,29,179,179,0.00018739700317382812
162,1,29,177,177,0.00018286705017089844
163,1,29,178,178,0.0001850128173828125
164,1,29,180,179,0.0001900196075439453
165,1,29,179,179,0.00018596649169921875
166,1,29,176,176,0.00018310546875
167,1,29,178,178,0.00018477439880371094
