seed,goal_reached,path_length,nodes,loops,time
1,1,29,180,180,0.0002741813659667969
2,1,29,179,179,0.00027060508728027344
3,1,29,179,179,0.0002701282501220703
5,1,29,180,180,0.0002655982971191406
6,1,29,179,179,0.0002872943878173828
7,1,29,179,179,0.0002663135528564453
8,1,29,179,179,0.00026726722717285156
9,1,29,180,180,0.0002739429473876953
10,1,29,169,169,0.00025010108947753906
11,1,29,179,179,0.0002646446228027344
12,1,29,180,180,0.00027060508728027344
13,1,29,180,180,0.0002665519714355469
14,1,29,179,179,0.000270843505859375
15,1,29,179,179,0.00027108192443847656
16,1,29,180,180,0.0002655982971191406
17,1,31,180,180,0.00027251243591308594
18,1,29,180,180,0.00026488304138183594
19,1,29,179,179,0.0002694129943847656
20,1,29,175,175,0.0002703666687011719
21,1,29,180,180,0.0002703666687011719
22,1,29,180,180,0.0002658367156982422
23,1,29,173,173,0.0002658367156982422
24,1,29,172,172,0.0002570152282714844
25,1,29,176,176,0.0002655982971191406
27,1,29,178,178,0.0002684593200683594
28,1,29,180,180,0.0002696514129638672
29,1,29,180,180,0.0002727508544921875
31,1,29,178,178,0.0002684593200683594
32,1,29,180,180,0.00027251243591308594
33,1,29,180,180,0.00026917457580566406
34,1,29,180,180,0.00027060508728027344
36,1,29,180,180,0.0002677440643310547
37,1,29,175,175,0.0002613067626953125
38,1,29,180,180,0.0002799034118652344
39,1,29,178,178,0.0002675056457519531
40,1,29,179,179,0.0002663135528564453
41,1,29,179,179,0.00027441978454589844
42,1,29,179,179,0.0002684593200683594
43,1,29,180,180,0.0002684593200683594
44,1,29,180,180,0.0002677440643310547
46,1,29,178,178,0.00026345252990722656
47,1,29,180,180,0.0002689361572265625
48,1,29,180,180,0.00026798248291015625
50,1,29,173,173,0.0002570152282714844
51,1,29,176,176,0.0002617835998535156
52,1,29,180,180,0.000274658203125
53,1,29,176,176,0.0002617835998535156
54,1,29,180,180,0.0002663135528564453
56,1,29,179,179,0.0002651214599609375
57,1,29,178,178,0.0002651214599609375
58,1,29,180,180,0.0002727508544921875
59,1,29,178,178,0.0002624988555908203
60,1,29,180,180,0.00026726722717285156
61,1,29,171,171,0.00025653839111328125
62,1,29,178,178,0.00026345252990722656
63,1,29,179,179,0.0002655982971191406
65,1,29,179,179,0.00026869773864746094
66,1,29,179,179,0.0002663135528564453
67,1,29,178,178,0.0002675056457519531
69,1,29,179,179,0.0002655982971191406
70,1,29,178,178,0.0002701282501220703
71,1,31,180,180,0.00026488304138183594
73,1,29,178,178,0.00026869773864746094
74,1,29,175,175,0.00026345252990722656
75,1,29,175,175,0.00026226043701171875
76,1,29,180,180,0.0002713203430175781
77,1,29,179,179,0.00026297569274902344
78,1,29,180,180,0.00026798248291015625
79,1,29,178,178,0.00027060508728027344
80,1,29,179,179,0.00026535987854003906
81,1,29,180,180,0.00026726722717285156
82,1,29,179,179,0.0002722740173339844
83,1,29,173,173,0.00026035308837890625
84,1,29,180,180,0.000270843505859375
85,1,29,178,178,0.0002644062042236328
86,1,29,179,179,0.0002644062042236328
87,1,29,179,179,0.00026679039001464844
88,1,29,180,180,0.00026702880859375
89,1,29,180,180,0.0002655982971191406
90,1,29,180,180,0.0002734661102294922
91,1,29,180,180,0.0002663135528564453
92,1,29,177,177,0.0002663135528564453
94,1,29,180,180,0.00026726722717285156
95,1,29,170,170,0.0002562999725341797
96,1,29,179,179,0.00027561187744140625
97,1,29,180,180,0.0002703666687011719
98,1,29,179,179,0.00026869773864746094
99,1,29,180,180,0.0002727508544921875
100,1,29,180,180,0.0002677440643310547
101,1,29,179,179,0.00026988983154296875
102,1,29,178,178,0.00026535987854003906
104,1,29,172,172,0.0002605915069580078
106,1,31,180,180,0.00026488304138183594
107,1,29,180,180,0.0002722740173339844
108,1,31,170,170,0.0002582073211669922
109,1,29,180,180,0.0002703666687011719
110,1,29,177,177,0.00026917457580566406
111,1,29,173,173,0.0002601146697998047
112,1,29,180,180,0.00027179718017578125
113,1,29,180,180,0.0002770423889160156
114,1,29,180,180,0.0002677440643310547
116,1,29,180,180,0.0002677440643310547
117,1,29,180,180,0.0002713203430175781
120,1,29,178,178,0.0002677440643310547
122,1,29,180,180,0.0002701282501220703
123,1,29,180,180,0.00027108192443847656
124,1,29,178,178,0.00026726722717285156
125,1,31,174,174,0.0002651214599609375
126,1,29,179,179,0.0002646446228027344
127,1,29,177,177,0.0002627372741699219
128,1,29,180,180,0.0002715587615966797
130,1,29,179,179,0.0002651214599609375
131,1,29,180,180,0.00027108192443847656
133,1,29,179,179,0.0002658367156982422
135,1,29,175,175,0.0002613067626953125
136,1,29,176,176,0.0002605915069580078
137,1,29,180,180,0.0002739429473876953
138,1,29,180,180,0.0002715587615966797
140,1,29,178,178,0.00027108192443847656
141,1,29,180,180,0.0002675056457519531
142,1,29,180,180,0.00026702880859375
143,1,29,180,180,0.00026798248291015625
144,1,29,144,144,0.0002155303955078125
145,1,29,180,180,0.0002677440643310547
147,1,29,180,180,0.0002696514129638672
148,1,29,180,180,0.00026798248291015625
149,1,29,180,180,0.00027632713317871094
150,1,29,179,179,0.0002684593200683594
151,1,29,180,180,0.0002663135528564453
152,1,29,178,178,0.0002739429473876953
155,1,29,177,177,0.0002727508544921875
156,1,29,180,180,0.0002715587615966797
159,1,29,177,177,0.0002677440643310547
160,1,29,180,180,0.00026988983154296875
161,1,29,179,179,0.00027871131896972656
162,1,29,177,177,0.000263214111328125
163,1,29,178,178,0.00026679039001464844
164,1,29,179,179,0.00027179718017578125
165,1,29,179,179,0.00026869773864746094
166,1,29,176,176,0.0002639293670654297
167,1,29,178,178,0.0002713203430175781
168,1,29,180,180,0.00026702880859375
169,1,29,179,179,0.00026726722717285156
170,1,29,176,176,0.00026726722717285156
171,1,29,180,180,0.00027060508728027344
172,1,29,180,180,0.00027370452880859375
173,1,29,180,180,0.0002663135528564453
174,1,29,180,180,0.0002715587615966797
175,1,29,179,179,0.0002727508544921875
176,1,29,179,179,0.0002701282501220703
178,1,29,175,175,0.0002689361572265625
179,1,29,177,177,0.00026488304138183594
180,1,29,178,178,0.00026726722717285156
181,1,29,180,180,0.00027298927307128906
182,1,29,180,180,0.0002684593200683594
185,1,29,180,180,0.0002651214599609375
186,1,29,180,180,0.00026726722717285156
187,1,29,179,179,0.0002713203430175781
188,1,29,179,179,0.0002677440643310547
189,1,29,175,175,0.0002613067626953125
190,1,29,177,177,0.0002703666687011719
191,1,29,180,180,0.0002694129943847656
192,1,29,180,180,0.00026726722717285156
194,1,29,177,177,0.0002627372741699219
195,1,29,180,180,0.0002727508544921875
196,1,29,176,176,0.00026226043701171875
197,1,29,180,180,0.00026702880859375
198,1,29,159,159,0.00023937225341796875
199,1,29,180,180,0.00026607513427734375
200,1,29,174,174,0.0002570152282714844
201,1,29,180,180,0.00027179718017578125
202,1,29,180,180,0.00027751922607421875
203,1,29,177,177,0.0002677440643310547
204,1,29,177,177,0.00026988983154296875
205,1,29,179,179,0.0002655982971191406
207,1,29,180,180,0.0002663135528564453
208,1,29,176,176,0.0002646446228027344
209,1,29,178,178,0.00026488304138183594
210,1,29,176,176,0.00026535987854003906
211,1,29,178,178,0.00026535987854003906
212,1,29,180,180,0.0002703666687011719
213,1,29,179,179,0.0002696514129638672
214,1,29,179,179,0.0002684593200683594
215,1,29,180,180,0.0002684593200683594
216,1,29,180,180,0.000274658203125
218,1,29,174,174,0.0002586841583251953
219,1,29,175,175,0.00026345252990722656
220,1,29,180,180,0.0002663135528564453
221,1,29,177,177,0.0002639293670654297
222,1,29,180,180,0.00026535987854003906
223,1,29,179,179,0.0002658367156982422
224,1,29,178,178,0.0002779960632324219
225,1,29,180,180,0.00026726722717285156
226,1,29,177,177,0.0002665519714355469
227,1,29,172,172,0.00026488304138183594
231,1,29,178,178,0.00026226043701171875
232,1,29,174,174,0.0002605915069580078
233,1,29,180,180,0.00027251243591308594
234,1,29,179,179,0.000263214111328125
235,1,29,179,179,0.00026726722717285156
236,1,29,180,180,0.00026988983154296875
237,1,29,180,180,0.00026488304138183594
238,1,29,178,178,0.0002722740173339844
239,1,29,178,178,0.0002636909484863281
240,1,29,180,180,0.0002727508544921875
241,1,29,177,177,0.0002727508544921875
242,1,29,180,180,0.00027108192443847656
244,1,29,179,179,0.0002655982971191406
245,1,29,179,179,0.0002651214599609375
246,1,29,180,180,0.0002682209014892578
247,1,29,177,177,0.00026726722717285156
248,1,29,178,178,0.0002665519714355469
249,1,29,180,180,0.0002689361572265625
250,1,29,173,173,0.0002613067626953125
252,1,29,178,178,0.0002651214599609375
253,1,29,180,180,0.00026702880859375
254,1,29,180,180,0.0002715587615966797
255,1,29,179,179,0.0002617835998535156
256,1,29,178,178,0.000263214111328125
257,1,29,176,176,0.0002627372741699219
258,1,29,180,180,0.0002651214599609375
259,1,29,179,179,0.0002732276916503906
260,1,29,179,179,0.0002644062042236328
261,1,29,180,180,0.00026607513427734375
262,1,29,179,179,0.00026917457580566406
263,1,29,179,179,0.0002644062042236328
264,1,29,180,180,0.0002665519714355469
265,1,29,178,178,0.00026607513427734375
267,1,29,176,176,0.0002620220184326172
268,1,31,171,171,0.00025653839111328125
269,1,29,174,174,0.0002593994140625
270,1,29,179,179,0.0002682209014892578
271,1,29,178,178,0.00026226043701171875
272,1,29,180,180,0.0002701282501220703
273,1,29,165,165,0.00024318695068359375
274,1,29,179,179,0.0002720355987548828
275,1,29,180,180,0.0002720355987548828
276,1,29,177,177,0.0002644062042236328
278,1,29,178,178,0.00026988983154296875
279,1,29,179,179,0.0002689361572265625
280,1,29,178,178,0.00026488304138183594
281,1,29,180,180,0.0002741813659667969
282,1,29,180,180,0.00026679039001464844
283,1,29,178,178,0.00026607513427734375
284,1,29,180,180,0.0002689361572265625
285,1,29,180,180,0.000270843505859375
286,1,29,179,179,0.0002715587615966797
287,1,29,180,180,0.0002665519714355469
288,1,29,179,179,0.00026726722717285156
289,1,29,177,177,0.0002663135528564453
290,1,29,179,179,0.0002658367156982422
291,1,29,177,177,0.0002651214599609375
292,1,29,176,176,0.0002696514129638672
293,1,29,165,165,0.0002455711364746094
294,1,29,177,177,0.00026702880859375
295,1,29,178,178,0.0002703666687011719
296,1,29,176,176,0.0002601146697998047
299,1,29,179,179,0.00026607513427734375
300,1,29,172,172,0.0002570152282714844
301,1,29,179,179,0.0002720355987548828
302,1,29,178,178,0.00026726722717285156
303,1,29,180,180,0.0002644062042236328
305,1,29,180,180,0.0002727508544921875
307,1,31,180,180,0.0002677440643310547
308,1,29,180,180,0.00026869773864746094
309,1,29,177,177,0.0002636909484863281
310,1,29,180,180,0.0002675056457519531
311,1,29,169,169,0.0002543926239013672
312,1,29,179,179,0.00026798248291015625
313,1,29,176,176,0.00026869773864746094
314,1,29,167,167,0.0002503395080566406
315,1,29,180,180,0.00026988983154296875
316,1,29,180,180,0.0002739429473876953
317,1,29,178,178,0.0002682209014892578
318,1,29,180,180,0.00026988983154296875
319,1,29,179,179,0.0002732276916503906
320,1,29,180,180,0.0002694129943847656
321,1,29,176,176,0.0002684593200683594
322,1,29,179,179,0.0002701282501220703
323,1,29,179,179,0.0002713203430175781
324,1,29,180,180,0.00027751922607421875
325,1,29,180,180,0.0002720355987548828
326,1,29,177,177,0.00026726722717285156
327,1,29,180,180,0.0002777576446533203
328,1,29,180,180,0.00027251243591308594
329,1,29,180,180,0.00027441978454589844
330,1,29,179,179,0.000274658203125
331,1,29,176,176,0.0002663135528564453
332,1,31,175,175,0.0002608299255371094
333,1,29,179,179,0.0002675056457519531
334,1,29,172,172,0.00025773048400878906
336,1,29,176,176,0.0002624988555908203
337,1,29,179,179,0.00026607513427734375
338,1,29,179,179,0.00027179718017578125
339,1,29,178,178,0.0002675056457519531
340,1,29,178,178,0.0002658367156982422
341,1,29,178,178,0.0002727508544921875
342,1,29,180,180,0.0002689361572265625
343,1,29,180,180,0.00026535987854003906
345,1,29,180,180,0.0002684593200683594
346,1,29,180,180,0.00026988983154296875
347,1,29,180,180,0.0002741813659667969
349,1,29,158,158,0.00023365020751953125
350,1,29,180,180,0.0002715587615966797
351,1,29,176,176,0.00027108192443847656
352,1,29,178,178,0.000270843505859375
353,1,29,175,175,0.0002613067626953125
354,1,29,172,172,0.0002684593200683594
355,1,29,180,180,0.00026869773864746094
356,1,29,180,180,0.00026607513427734375
357,1,29,176,176,0.00026679039001464844
359,1,29,177,177,0.0002624988555908203
360,1,29,165,165,0.0002498626708984375
361,1,29,179,179,0.0002663135528564453
362,1,29,180,180,0.0002655982971191406
363,1,29,180,180,0.00027108192443847656
364,1,29,180,180,0.0002701282501220703
365,1,29,178,178,0.00026679039001464844
366,1,29,179,179,0.0002720355987548828
367,1,29,176,176,0.00026416778564453125
368,1,29,180,180,0.00026702880859375
369,1,29,179,179,0.0002675056457519531
371,1,29,180,180,0.00026535987854003906
372,1,29,178,178,0.0002682209014892578
373,1,29,179,179,0.00026535987854003906
374,1,29,178,178,0.0002694129943847656
375,1,29,172,172,0.0002560615539550781
376,1,29,179,179,0.0002651214599609375
378,1,31,174,174,0.0002605915069580078
379,1,29,177,177,0.0002639293670654297
381,1,29,179,179,0.0002627372741699219
382,1,29,180,180,0.0002696514129638672
384,1,29,180,180,0.0002646446228027344
385,1,29,178,178,0.0002658367156982422
386,1,29,179,179,0.0002636909484863281
387,1,29,180,180,0.0002665519714355469
388,1,29,176,176,0.0002636909484863281
389,1,29,180,180,0.0002701282501220703
391,1,29,179,179,0.0002658367156982422
394,1,29,180,180,0.00026726722717285156
395,1,29,178,178,0.0002651214599609375
396,1,29,179,179,0.0002651214599609375
397,1,29,178,178,0.0002627372741699219
398,1,29,173,173,0.000255584716796875
399,1,29,179,179,0.00026226043701171875
401,1,29,168,168,0.00024700164794921875
402,1,29,179,179,0.0002689361572265625
403,1,29,177,177,0.0002617835998535156
404,1,29,180,180,0.0002675056457519531
405,1,29,180,180,0.0002713203430175781
406,1,29,177,177,0.00026035308837890625
407,1,29,180,180,0.000263214111328125
408,1,29,180,180,0.0002689361572265625
409,1,29,179,179,0.0002613067626953125
410,1,29,175,175,0.00025582313537597656
411,1,29,179,179,0.00027179718017578125
412,1,29,179,179,0.0002646446228027344
413,1,29,179,179,0.0002620220184326172
414,1,29,179,179,0.00026345252990722656
415,1,29,180,180,0.0002658367156982422
418,1,29,174,174,0.0002551078796386719
419,1,29,176,176,0.00025963783264160156
420,1,29,179,179,0.0002675056457519531
421,1,29,180,180,0.0002663135528564453
422,1,29,179,179,0.0002627372741699219
423,1,29,180,180,0.0002694129943847656
425,1,29,180,180,0.0002646446228027344
426,1,29,179,179,0.00027060508728027344
427,1,29,180,180,0.0002663135528564453
428,1,29,167,167,0.00024890899658203125
429,1,29,178,178,0.0002694129943847656
430,1,29,179,179,0.00026869773864746094
431,1,29,180,180,0.0002658367156982422
433,1,29,179,179,0.00026226043701171875
434,1,29,178,178,0.00026106834411621094
435,1,29,179,179,0.0002651214599609375
436,1,29,161,161,0.00023674964904785156
437,1,29,174,174,0.0002601146697998047
438,1,29,176,176,0.00025963783264160156
439,1,29,179,179,0.0002627372741699219
440,1,29,179,179,0.0002677440643310547
441,1,29,180,180,0.00026607513427734375
442,1,29,179,179,0.0002639293670654297
443,1,29,180,180,0.00026988983154296875
444,1,29,149,149,0.0002205371856689453
445,1,29,180,180,0.0002655982971191406
446,1,29,180,180,0.0002689361572265625
447,1,29,178,178,0.0002627372741699219
448,1,29,179,179,0.0002677440643310547
450,1,29,177,177,0.0002582073211669922
451,1,29,180,180,0.0002646446228027344
452,1,29,180,180,0.00026416778564453125
454,1,29,178,178,0.00025963783264160156
455,1,29,179,179,0.00026798248291015625
456,1,29,179,179,0.0002646446228027344
457,1,29,179,179,0.00026488304138183594
458,1,29,180,180,0.0002720355987548828
460,1,29,179,179,0.0002620220184326172
461,1,29,180,180,0.00026798248291015625
462,1,29,175,175,0.00026535987854003906
463,1,29,180,180,0.00026607513427734375
464,1,29,178,178,0.00026702880859375
465,1,29,180,180,0.0002655982971191406
466,1,29,179,179,0.0002639293670654297
467,1,29,179,179,0.0002675056457519531
468,1,29,178,178,0.00026345252990722656
469,1,29,178,178,0.0002620220184326172
470,1,29,177,177,0.0002617835998535156
471,1,29,180,180,0.00026226043701171875
472,1,29,178,178,0.000270843505859375
474,1,29,179,179,0.0002627372741699219
475,1,29,179,179,0.00027108192443847656
478,1,29,180,180,0.0002665519714355469
480,1,29,178,178,0.00026226043701171875
481,1,29,177,177,0.0002608299255371094
482,1,29,168,168,0.00025343894958496094
484,1,29,180,180,0.0002624988555908203
486,1,29,177,177,0.0002636909484863281
487,1,29,179,179,0.00026917457580566406
488,1,29,180,180,0.000263214111328125
489,1,29,178,178,0.0002696514129638672
490,1,29,170,170,0.00025081634521484375
491,1,29,180,180,0.00026917457580566406
492,1,29,177,177,0.0002675056457519531
493,1,29,179,179,0.0002694129943847656
494,1,29,179,179,0.0002663135528564453
495,1,29,178,178,0.0002639293670654297
496,1,29,158,158,0.0002372264862060547
497,1,29,179,179,0.00027441978454589844
498,1,29,179,179,0.0002651214599609375
499,1,29,180,180,0.0002675056457519531
500,1,29,180,180,0.0002727508544921875
501,1,29,179,179,0.0002655982971191406
502,1,29,180,180,0.00026726722717285156
503,1,29,179,179,0.0002715587615966797
504,1,29,179,179,0.0002677440643310547
506,1,31,180,180,0.0002715587615966797
507,1,29,180,180,0.0002677440643310547
508,1,29,179,179,0.0002655982971191406
509,1,29,180,180,0.0002682209014892578
510,1,29,178,178,0.0002655982971191406
511,1,29,177,177,0.00025963783264160156
512,1,29,180,180,0.00026988983154296875
513,1,29,180,180,0.0002713203430175781
515,1,29,177,177,0.0002636909484863281
518,1,29,176,176,0.0002608299255371094
519,1,29,180,180,0.00026869773864746094
520,1,29,179,179,0.0002713203430175781
522,1,29,180,180,0.00026869773864746094
523,1,29,178,178,0.0002658367156982422
524,1,31,173,173,0.00025653839111328125
525,1,29,178,178,0.0002665519714355469
526,1,29,180,180,0.000278472900390625
527,1,29,177,177,0.00026535987854003906
528,1,29,179,179,0.0002675056457519531
530,1,29,179,179,0.0002655982971191406
531,1,29,178,178,0.00026702880859375
532,1,29,179,179,0.0002713203430175781
534,1,29,179,179,0.00026535987854003906
535,1,29,178,178,0.0002651214599609375
537,1,29,179,179,0.00026607513427734375
539,1,29,180,180,0.000270843505859375
540,1,29,180,180,0.0002696514129638672
541,1,29,180,180,0.00026917457580566406
543,1,29,180,180,0.0002696514129638672
544,1,29,179,179,0.00026726722717285156
545,1,29,179,179,0.0002694129943847656
546,1,29,180,180,0.00027108192443847656
547,1,29,179,179,0.00026869773864746094
548,1,29,178,178,0.0002655982971191406
550,1,29,177,177,0.000263214111328125
551,1,29,180,180,0.00026988983154296875
553,1,29,179,179,0.00027370452880859375
554,1,29,180,180,0.0002677440643310547
555,1,29,180,180,0.00026488304138183594
556,1,29,177,177,0.0002605915069580078
559,1,29,177,177,0.00026035308837890625
560,1,29,177,177,0.0002582073211669922
563,1,29,178,178,0.0002608299255371094
564,1,29,180,180,0.00026416778564453125
565,1,29,180,180,0.00027251243591308594
566,1,29,180,180,0.00026297569274902344
567,1,29,178,178,0.00026297569274902344
568,1,29,180,180,0.00027179718017578125
569,1,29,178,178,0.0002639293670654297
570,1,29,180,180,0.0002658367156982422
571,1,29,175,175,0.0002598762512207031
572,1,29,180,180,0.00026297569274902344
573,1,29,180,180,0.0002722740173339844
574,1,29,178,178,0.0002613067626953125
575,1,29,178,178,0.0002627372741699219
576,1,29,180,180,0.0002703666687011719
577,1,29,180,180,0.0002636909484863281
578,1,29,179,179,0.000263214111328125
579,1,29,172,172,0.0002567768096923828
580,1,29,179,179,0.0002663135528564453
581,1,29,175,175,0.00025963783264160156
582,1,29,179,179,0.00026988983154296875
584,1,29,179,179,0.00026035308837890625
585,1,29,173,173,0.0002543926239013672
586,1,29,180,180,0.0002665519714355469
587,1,29,180,180,0.00026416778564453125
588,1,29,177,177,0.0002646446228027344
589,1,29,179,179,0.0002624988555908203
590,1,29,180,180,0.00025963783264160156
591,1,29,180,180,0.00027251243591308594
592,1,29,175,175,0.000255584716796875
593,1,29,170,170,0.0002498626708984375
594,1,29,178,178,0.00026702880859375
595,1,29,166,166,0.00024628639221191406
596,1,29,179,179,0.0002608299255371094
597,1,29,180,180,0.00027108192443847656
598,1,29,180,180,0.0002651214599609375
599,1,29,177,177,0.00026154518127441406
600,1,29,178,178,0.000270843505859375
